Filepath,Match Status,Folder Name,Sample Name,Sample Number,Lane Number,Read
MA1_2,Unmatched,2022-10-18_rnaseq_human_ht29_olivia_cooper,,,,
C3_1,Unmatched,2022-10-18_rnaseq_human_ht29_olivia_cooper,,,,
C3_2,Unmatched,2022-10-18_rnaseq_human_ht29_olivia_cooper,,,,
MA3_2,Unmatched,2022-10-18_rnaseq_human_ht29_olivia_cooper,,,,
MA3_1,Unmatched,2022-10-18_rnaseq_human_ht29_olivia_cooper,,,,
OP1539G4_CKDL220014304-1a-AK863-AK984_HY7LVDSX3_L4_2,Unmatched,2022-06-22_rrbs_human_goals_optin_bela,,,,
OP1539G4_CKDL220014304-1a-AK863-AK984_HY7LVDSX3_L4_1,Unmatched,2022-06-22_rrbs_human_goals_optin_bela,,,,
OP1369O2_CKDL220014304-1a-AK987-AK985_HY7LVDSX3_L4_2,Unmatched,2022-06-22_rrbs_human_goals_optin_bela,,,,
OP1369O2_CKDL220014304-1a-AK987-AK985_HY7LVDSX3_L4_1,Unmatched,2022-06-22_rrbs_human_goals_optin_bela,,,,
OP1326G2_CKDL220014304-1a-AK907-AK1864_HY7LVDSX3_L4_1,Unmatched,2022-06-22_rrbs_human_goals_optin_bela,,,,
OP1326G2_CKDL220014304-1a-AK907-AK1864_HY7LVDSX3_L4_2,Unmatched,2022-06-22_rrbs_human_goals_optin_bela,,,,
